code_circ,region,parti,nom,score,pourcentage,elu
067,GOH,INDEPENDANT,DJEDJE BAGNON MARIUS BIENVENU,621,5.96,0
067,GOH,RHDP,KONE ISSA,2749,26.38,1
067,GOH,INDEPENDANT,DALLY PRUDENCE SONIA,299,2.87,0
067,GOH,CODE,GRI SERAPHIN,195,1.87,0
067,GOH,INDEPENDANT,LITIE  LITIE ERIC,95,0.91,0
067,GOH,INDEPENDANT,YOUBOLOU ADJEHI NATHALIE,266,2.55,0
067,GOH,INDEPENDANT,ZAGO KPOKOU FRANCIS GOSSET,373,3.58,0
067,GOH,INDEPENDANT,GBALOU SERY MARTIN CLAVER,741,7.11,0
068,GOH,CRI PANAFRICAIN,NAKI GOHOU ABEL,17,0.2,0
068,GOH,FPI,LIBY GUILLAUME,274,3.17,0
068,GOH,PDCI-RDA,DIGBEU BLE ALFRED,1704,19.72,0
068,GOH,INDEPENDANT,OURAGA SERGE OLIVIER,1327,15.35,0
068,GOH,RHDP,DOGO LOGBO MYSS BELMONDE,4730,54.73,1
068,GOH,CODE,ZIE BETO ALFRED,44,0.51,0
068,GOH,INDEPENDANT,KOUADIO KONAN LEON,460,5.32,0
069,GOH,INDEPENDANT,GNAHORE SIABA GEORGES,448,4.45,0
069,GOH,INDEPENDANT,KAKOU GUIKAHUE MAURICE,1600,15.89,0
069,GOH,INDEPENDANT,ADJI KODOU MATHIAS,55,0.55,0
069,GOH,INDEPENDANT,MOUSSA KONATE,1885,18.72,1
069,GOH,INDEPENDANT,RABE LIAGRO CHARLES,1314,13.05,0
069,GOH,INDEPENDANT,BAGNIMO DIABOU OLIVIER,47,0.47,0
069,GOH,INDEPENDANT,DAKOURY ELIE,49,0.49,0
069,GOH,INDEPENDANT,GNAGA LOSS-ROSS,62,0.62,0
069,GOH,PDCI-RDA,YAO KOUAME RENE,1607,15.96,0
069,GOH,INDEPENDANT,YAZI IKPO JEAN ARNAUD,59,0.59,0
069,GOH,INDEPENDANT,GNADJA DOGBA-RICHARD,721,7.16,0
069,GOH,RHDP,DJEDJEGNE YRIDJE DIGBEU YVETTE EPOUSE SEA,1645,16.34,0
069,GOH,INDEPENDANT,BLE ZOKOU,274,2.72,0
069,GOH,INDEPENDANT,KOFFI KOUAME,123,1.22,0
069,GOH,INDEPENDANT,GADJI DIDIER JEAN-FRANCOIS,20,0.2,0
070,GOH,INDEPENDANT,"S""UNIR ET AGIR POUR GAGNOA",297,2.59,0
070,GOH,PDCI-RDA,TOUS ENSEMBLE POUR LA CÔTE D'IVOIRE,769,6.72,0
070,GOH,RHDP,UNE COTE D'IVOIRE EN PAIX PROSPERE ET SOLIDAIRE,9405,82.17,1
070,GOH,MDR,MOUVEMENT DEMOCRATIQUE POUR LE RENOUVEAU,542,4.74,0
070,GOH,ADCI,AUJOURDHUI ET DEMAIN LA CÔTE DIVOIRE,333,2.91,0
071,GOH,INDEPENDANT,ZEGOUA ADIA SAINT DOMINIQUE ISRAEL,1162,10.83,0
071,GOH,PDCI-RDA,BAGROU GOLI,5210,48.56,1
071,GOH,MGC,KOBOU DECKY JEAN CLAUDE,137,1.28,0
071,GOH,ICON,MAYOBO OGA DADE YVES,94,0.88,0
071,GOH,INDEPENDANT,DEHI GAHI DANIEL,130,1.21,0
071,GOH,RHDP,KONAN JULIEN,3902,36.37,0
072,GOH,INDEPENDANT,KONATE ZANGA,14,0.12,0
072,GOH,INDEPENDANT,ALLAH KOUADIO ERIC SAINT-CLAIR,963,8.35,0
072,GOH,INDEPENDANT,BANA DONZO JEAN PROSPER,124,1.08,0
072,GOH,PDCI-RDA,LAGUI KOUASSI JOACHIM,3810,33.04,0
072,GOH,MGC,TRAH N'GORAN YOLANDE AIMEE EPOUSE KOFFI,137,1.19,0
072,GOH,INDEPENDANT,DOUEZAN LOU TCHANWELE PHILOMENE EPSE DADOU,35,0.3,0
072,GOH,RHDP,KOUASSI DJA FLORE,5788,50.19,1
072,GOH,INDEPENDANT,WOYO BE NADEGE,171,1.48,0
072,GOH,INDEPENDANT,NDRI YAO MATHIEU,396,3.43,0
073,,RHDP,"UNE CÔTE D'IVOIRE EN PAIX, PROSPERE ET SOLIDAIRE",14746,87.64,1
073,,PDCI-RDA,TOUS ENSEMBLE POUR LA CÔTE D'IVOIRE,1161,6.9,0
073,,INDEPENDANT,BONDOUKOU EN MARCHE,706,4.2,0
074,,INDEPENDANT,ELITES DE LA RELEVE,255,1.39,0
074,,INDEPENDANT,"UN JOUR, IL FERA JOUR",5262,28.68,0
074,,PDCI-RDA,TOUS ENSEMBLE POUR LA CÔTE D'IVOIRE,888,4.84,0
074,,INDEPENDANT,"LE PARLEMENT AUX PARLEMENTAIRES, LES HOMMES QU'IL FAUT À LA PLACE QU'IL FAUT",934,5.09,0
074,,INDEPENDANT,CONCORDE POUR LE RENOUVEAU DU GONTOUGO,3641,19.84,0
074,,RHDP,"UNE COTE D'IVOIRE EN PAIX ,PROSPERE ET SOLIDAIRE",7031,38.32,1
075,,FPI,N'GUETTIA YAO KOUMAN,57,0.63,0
075,,PDCI-RDA,SAWIRI YAO YEBOUA,1678,18.41,0
075,,INDEPENDANT,OUATTARA ABOU,1725,18.92,0
075,,P.B.J.V,KOSSONOU KOUADIO HENRI QUATORZE,219,2.4,0
075,,INDEPENDANT,DIABAGATE YEBOUA ADAMAN,1961,21.51,0
075,,INDEPENDANT,COULIBALY NANGA ISMAEL,212,2.33,0
075,,INDEPENDANT,YEBOUA KOUAKOU KOUMAN BENOIT,19,0.21,0
075,,RHDP,DIABAGATE MOUSSA,3122,34.24,1
076,,PDCI-RDA,HIEN SIE GEORGES BENEDICT,120,1.24,0
076,,INDEPENDANT,KRA KOBENAN LAZARE,2953,30.49,0
076,,INDEPENDANT,KOUAME YAO KOUMAN,257,2.65,0
076,,INDEPENDANT,BIFFITE HOLLO DAH,232,2.4,0
076,,INDEPENDANT,SOULEYMANE OUATTARA,2883,29.77,0
076,,RHDP,KOUASSI KOFFI KRA PAULIN,3123,32.25,1
077,,INDEPENDANT,YAO KOUASSI  ALI,262,3.56,0
077,,INDEPENDANT,EBA YAO HAROUNA,1862,25.27,0
077,,PDCI-RDA,KOFFI TEHUA,188,2.55,0
077,,UNPR,MOUTAYE AZOUMANA,2571,34.89,1
077,,RHDP,SONAN JEAN-FRANCOIS DONALD,2407,32.67,0
078,GONTOUGO,INDEPENDANT,AHIMOU YAO,141,1.66,0
078,GONTOUGO,INDEPENDANT,CISSE MOHAMED,223,2.63,0
078,GONTOUGO,PDCI-RDA,KOUASSI BREDOUMY SOUMAILA TRAORE,2578,30.38,1
078,GONTOUGO,INDEPENDANT,YAO SOUMAILA,880,10.37,0
078,GONTOUGO,RHDP,KOUAKOU BOKO ANTOINE,1394,16.43,0
078,GONTOUGO,INDEPENDANT,KOFFI KRA SERGE-PACOME,986,11.62,0
078,GONTOUGO,INDEPENDANT,KOFFI STEPHANE NANAN ATHESSY,1156,13.62,0
078,GONTOUGO,INDEPENDANT,SEYAN KAMATE ISSOUF,692,8.15,0
078,GONTOUGO,REEL.CI,KOUADIO KOUABENA WILFRIED DELAFOSSE,334,3.94,0
078,GONTOUGO,INDEPENDANT,KOFFI GBALAZOU OLIVIER,30,0.35,0
079,GONTOUGO,INDEPENDANT,OUATTARA AZOUMANAN,2121,28.81,0
079,GONTOUGO,INDEPENDANT,BENIE KOUAKOU ADAYE GERARD,428,5.81,0
079,GONTOUGO,INDEPENDANT,KOFFI KOUADIO SERAPHIN,89,1.21,0
079,GONTOUGO,PDCI-RDA,OULAYES YAO KPOULALE FRANCOIS,2408,32.71,1
079,GONTOUGO,RHDP,KOUAKOU KOUASSI JEAN-MARIE,2270,30.84,0
080,GONTOUGO,INDEPENDANT,KAMAGATE YAHASSINAN,3812,35.21,0
080,GONTOUGO,CODE,OUATTARA LASSINA,67,0.62,0
080,GONTOUGO,RHDP,OUATTARA ABOUBAKAR,6864,63.41,1
081,GONTOUGO,INDEPENDANT,FIENI KOFFI KEVIN,2131,9.98,0
081,GONTOUGO,INDEPENDANT,BOBLAI DOUASSOH JOSINANE ISABELLE,2483,11.62,0
081,GONTOUGO,ADCI,TEYA YAO BILLY CURTIS,258,1.21,0
081,GONTOUGO,PDCI-RDA,SERGE YVON VREMEN,754,3.53,0
081,GONTOUGO,RHDP,KOBENAN KOUASSI ADJOUMANI,15617,73.11,1
082,GONTOUGO,INDEPENDANT,TANO KOUABENAN ISAAC,6574,42.52,0
082,GONTOUGO,INDEPENDANT,OUATTARA ASSANAN,58,0.38,0
082,GONTOUGO,INDEPENDANT,BINI KOBENAN SERGE,148,0.96,0
082,GONTOUGO,PDCI-RDA,KOBENA KOSSONOU PAUL,388,2.51,0
082,GONTOUGO,RHDP,YOBOUA KOUABENAN CEVERIN,8175,52.87,1
083,GRANDS PONTS,RHDP,UNE CÔTE D'IVOIRE EN PAIX  PROSPERE ET SOLIDAIRE,13219,71.18,1
083,GRANDS PONTS,MGC,POUR LA NATION,992,5.34,0
083,GRANDS PONTS,PDCI-RDA,TOUS UNIS POUR LA CÔTE DIVOIRE,4189,22.56,0
084,GRANDS PONTS,INDEPENDANT,KAKOU DIDIER PAUL AKA,45,0.39,0
084,GRANDS PONTS,INDEPENDANT,KOUASSI ANDRE,1478,12.94,0
084,GRANDS PONTS,INDEPENDANT,AMIE LEBA YOLANDE EPOUSE ADO,1001,8.76,0
084,GRANDS PONTS,RHDP,YAO N'GUESSAN ALFRED,4567,39.98,1
084,GRANDS PONTS,INDEPENDANT,KOUASSI ERHARD LUC,191,1.67,0
084,GRANDS PONTS,PDCI-RDA,YOBOUE MARIE LAURE,4051,35.46,0
085,GRANDS PONTS,INDEPENDANT,ODA EDOUARD,1972,22.84,0
085,GRANDS PONTS,RHDP,AMON-TANOH BENOIT MARCEL,4630,53.63,1
085,GRANDS PONTS,INDEPENDANT,ADJOUSSOU GUY-PEINE,23,0.27,0
085,GRANDS PONTS,ADCI,GAHI GAHI INNOCENT,119,1.38,0
085,GRANDS PONTS,INDEPENDANT,GNANDUILLET ARSENE LUCAIN,180,2.08,0
085,GRANDS PONTS,FPI,N'GUESSAN DJIPRO GNANAGAHON VERONIQUE,285,3.3,0
085,GRANDS PONTS,PDCI-RDA,KOUASSI EPSE AKA-ADJO MARIE-ANGE GEORGETTE AYA-BONI,1355,15.69,0
086,GUEMON,INDEPENDANT,TAH GLAO AGUILAS,586,4.31,0
086,GUEMON,PDCI-RDA,LEDIEHI KEMONDE CHRISTOPHE,505,3.71,0
086,GUEMON,INDEPENDANT,BAKO JEAN PONDERE NESTOR,556,4.09,0
086,GUEMON,INDEPENDANT,TAILLY THIERRY HERMANE,3315,24.38,0
086,GUEMON,INDEPENDANT,DIET DAZAMIN ANGE LAURE,939,6.91,0
086,GUEMON,INDEPENDANT,DOUAROU ZOH ANDREE JOSELYNE,273,2.01,0
086,GUEMON,APR.CI,DJEHI MONHYA HYPPOLITE,214,1.57,0
086,GUEMON,RHDP,SEREY DOH CELESTIN,6394,47.03,1
086,GUEMON,INDEPENDANT,FOUEMON  NEMET DESCANE WILFRIED,662,4.87,0
087,GUEMON,INDEPENDANT,TAE SYLVAIN,190,2.01,0
087,GUEMON,INDEPENDANT,TAILLY JEAN CHARLES FELIX LAMBERT,390,4.13,0
087,GUEMON,INDEPENDANT,GUIHIN DIOUFO NOMASSO,461,4.88,0
087,GUEMON,PDCI-RDA,DOHO ZONSELOUE SIMON,2414,25.54,0
087,GUEMON,INDEPENDANT,MARCEL TABA,2341,24.77,0
087,GUEMON,INDEPENDANT,GUELADE DOUE GHISLAIN STANISLAS,756,8.0,0
087,GUEMON,RHDP,BOHOUO DEHOUROU MATHURIN,2702,28.59,1
088,,INDEPENDANT,THE MANDE STEPHANE,156,1.34,0
088,,PDCI-RDA,GUI-DIBO DESIRE MAGLOIRE GNOMBLEHI,1183,10.17,0
088,,RHDP,DOUMBIA IBRAHIMA,8300,71.34,1
088,,INDEPENDANT,KONE BAKARY,1490,12.81,0
088,,INDEPENDANT,MOUHON BOZON ELVIS DESTY,214,1.84,0
088,,CODE,YOMI KAPEU,64,0.55,0
089,,INDEPENDANT,TAE AUBIN,45,0.37,0
089,,MGC,KAHAN ANGELINE,122,0.99,0
089,,INDEPENDANT,GNONBLESSON PIERRE QUINTUS,23,0.19,0
089,,PDCI-RDA,SOMDA FOVIN GEORGETTE EPOUSE GIELEN,3404,27.7,0
089,,INDEPENDANT,GNAHE GOUSSE FRANCK,135,1.1,0
089,,INDEPENDANT,TEHE FLORE BENEDICTE,50,0.41,0
089,,INDEPENDANT,TOURE YACOUBA,654,5.32,0
089,,ADCI,GNENE BASILE,226,1.84,0
089,,AIRD,KAHE KPLOHOUROU ERIC VICTOR,566,4.61,0
089,,RHDP,TOURE FLANIZARA,5608,45.63,1
089,,FPI,TEHY MONSETEMON BASILE,1329,10.81,0
090,,PDCI-RDA,THE JASMIN ROGER,832,12.86,0
090,,RHDP,OULLA GUELADET EPHREM PRIVAT,2709,41.86,0
090,,INDEPENDANT,GNONKA ANGES,2814,43.48,1
091,,INDEPENDANT,TIE FELICIEN SERGE-ALAIN,223,2.66,0
091,,INDEPENDANT,BLEKAHI PHILIPPE,518,6.18,0
091,,ADCI,KINDRAUD MIANTE ALIDA VERONIQUE,347,4.14,0
091,,INDEPENDANT,MEAMBLY TIE EVARISTE EDOUARD,2551,30.43,0
091,,INDEPENDANT,TROH KELASSON ADELPHE,817,9.75,0
091,,INDEPENDANT,TIEPOHO DOHANEMON ALAIN,408,4.87,0
091,,INDEPENDANT,SEHI GUEHI PATRICK,375,4.47,0
091,,RHDP,SEA JEAN HONORE,3033,36.18,1
092,,PPSD,TIEHI EMMANUEL,492,4.84,0
092,,EDS,YOUTE WONSEBEO INNOCENT,1977,19.45,0
092,,MGC,KPEYA MONHESSEA,380,3.74,0
092,,INDEPENDANT,WOMBLEGNON EPSE LEMMENS JULIE,1402,13.79,0
092,,INDEPENDANT,BEAT-SEKI SEANDJE ANGE,1488,14.64,0
092,,ACI,BAH FERDINAND,193,1.9,0
092,,RHDP,TAHOU  THIERRY,3858,37.95,1
092,,GP-PAIX,GBE GNIONTY ANGELESSE JACQUELIN,258,2.54,0
093,HAMBOL,INDEPENDANT,KARIDIOULA SOULEYMANE,3946,37.19,0
093,HAMBOL,RHDP,FOFANA BASSATIGUI,6542,61.65,1
094,HAMBOL,INDEPENDANT,COULIBALY ABOUBAKARY,3373,20.25,0
094,HAMBOL,INDEPENDANT,COULIBALY DROUGNAN MOHAMED,311,1.87,0
094,HAMBOL,RHDP,KONATE IBRAHIM KALIL,12798,76.84,1
095,HAMBOL,ADCI,KARIDIOULA NIEHINAPARAN,555,4.89,0
095,HAMBOL,INDEPENDANT,OUATTARA DOKOLIO GERARD,2475,21.79,0
095,HAMBOL,RHDP,COULIBALY AMADOU TIDIANE,7762,68.35,1
095,HAMBOL,INDEPENDANT,COULIBALY SOULEYMANE,390,3.43,0
096,HAMBOL,INDEPENDANT,TRAORE KARIME,5146,29.8,0
096,HAMBOL,RHDP,CAMARA POGABAHA THOMAS,11788,68.25,1
096,HAMBOL,AIDE,PARE KATITCHO BINTOU CATHERINE,66,0.38,0
097,HAMBOL,INDEPENDANT,TRAORE KARIDIA,2808,22.51,0
097,HAMBOL,RHDP,KONE CATHERINE,8915,71.47,1
097,HAMBOL,PDCI-RDA,TOURE ISSOUF,590,4.73,0
098,HAMBOL,RHDP,KONE TIEMOKO MEYLIET,23329,99.93,1
099,HAUT- SASSANDRA,INDEPENDANT,ALLIANCE POUR LA DEMOCRATIE ET LE DEVELOPPEMENT,3602,29.69,0
099,HAUT- SASSANDRA,RHDP,"UNE COTE DIVOIRE EN PAIX, PROSPERE ET SOLIDAIRE",5873,48.41,1
099,HAUT- SASSANDRA,PDCI-RDA,TOUS ENSEMBLE POUR LA CÔTE D'IVOIRE,2512,20.7,0
100,HAUT- SASSANDRA,INDEPENDANT,PRO COTE D'IVOIRE POUR UN PARLEMENT DEFENSEUR DES POPULATIONS,412,1.53,0
100,HAUT- SASSANDRA,INDEPENDANT,ENSEMBLE REALISONS,1035,3.83,0
100,HAUT- SASSANDRA,INDEPENDANT,LESPOIR POLITIQUE DE DALOA,990,3.67,0
100,HAUT- SASSANDRA,INDEPENDANT,EGALITE POUR LEQUILIBRE SOCIO-ECONOMIQUE,987,3.66,0
100,HAUT- SASSANDRA,RHDP,"UNE COTE D""IVOIRE EN PAIX,PROSPERE ET SOLIDAIRE",21340,79.06,1
100,HAUT- SASSANDRA,INDEPENDANT,POUR NOUS CEST DALOA,1844,6.83,0
100,HAUT- SASSANDRA,INDEPENDANT,JEUNESSE UNIE DE DALOA,120,0.44,0
101,HAUT- SASSANDRA,INDEPENDANT,DIGBEU TOH LAMBERT,366,3.43,0
101,HAUT- SASSANDRA,ADCI,TETIALY TETIALY ADOLPHE,34,0.32,0
101,HAUT- SASSANDRA,RHDP,OUATTARA BAKARY,3511,32.94,0
101,HAUT- SASSANDRA,INDEPENDANT,KIPRE STEPHANE AYMAR AUGUSTIN,5907,55.42,1
101,HAUT- SASSANDRA,MGC,BIAHI FLORA ESTELLE DESIREE,21,0.2,0
101,HAUT- SASSANDRA,PDCI-RDA,LIKANE-YAGUI JEAN,698,6.55,0
102,HAUT- SASSANDRA,INDEPENDANT,UNION DES JEUNES POUR LE DEVELOPPEMENT,264,2.01,0
102,HAUT- SASSANDRA,RHDP,"UNE COTE DIVOIRE EN PAIX,PROSPERE ET SOLIDAIRE",5651,43.0,1
102,HAUT- SASSANDRA,INDEPENDANT,EPI (ENSSEMBLE POUR ISSIA),2451,18.65,0
