region,code,nom,nb_bv,inscrits,votants,taux_participation,nuls,exprimes,bulletins_blancs,taux_bulletins_blancs
GBEKE,063,"AYAOU-SRAN, DIBRI-ASRIKRO, SAKASSOU ET TOUMODI-SAKASSOU, COMMUNES ET SOUS-PREFECTURES",143,38024,11752,30.91,377,11375,163,1.43
GBOKLE,064,"DAKPADOU ET SAGO, COMMUNES ET SOUS·PREFECTURES",71,19602,6919,35.3,108,6811,118,1.73
GBOKLE,065,"GRIHIRI, LOBAKUYA, MEDON ET SASSANDRA, COMMUNES ET SOUS-PREFECTURES",104,29913,7502,25.08,189,7313,61,0.83
GBOKLE,066,"DAHIRI, FRESCO ET GBAGBAM, COMMUNES ET SOUS-PREFECTURES",82,19869,6546,32.95,155,6391,57,0.89
GOH,067,"BAYOTA, DAHIEPA·KEHI, OURAGAHIO ET YOPOHUE, COMMUNES ET SOUS-PREFECTURES",150,42324,10693,25.26,274,10419,166,1.59
GOH,068,"DIGNAGO, GALEBOUO ET GUIBEROUA, COMMUNES ET SOUS-PREFECTURES",110,30755,8919,29.0,276,8643,87,1.01
GOH,069,"DOUGROUPALEGNOA, DOUKOUYO, GNAGBODOUGNOA ET SERIHIO, COMMUNES ET SOUS-PREFECTURES, GAGNOA, SOUS-PREFECTURE",129,36390,10519,28.91,451,10068,159,1.58
GOH,070,"GAGNOA, COMMUNE",210,83356,11738,14.08,292,11446,100,0.87
GOH,071,"DIEGONEFLA ET TONLA, COMMUNES ET SOUS-PREFECTURES",101,31994,10995,34.37,265,10730,95,0.89
GOH,072,"GUEPAHOUO ET OUME, COMMUNES ET SOUS-PREFECTURES",165,46572,11867,25.48,334,11533,95,0.82
,073,"APPIMANDOUM, BONDOUKOU ET PINDA-BOROKO, COMMUNES ET SOUS-PREFECTURES",155,52876,17219,32.56,394,16825,212,1.26
,074,"BONDO, LAOUDI-BA, SAPLI-SEPINGO, TAOUDI ET YEZIMALA, COMMUNES ET SOUS-PREFECTURES",122,35843,18753,52.32,403,18350,339,1.85
